Date,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Pct,Gross_PnL_Amount,Total_Charges_Amount,Net_PnL_Amount,Cumulative_Net_PnL_Amount
2026-06-15,9,6,3,66.7,70.23,19.57,50.66,50.66
2026-06-16,11,4,7,36.4,10.32,25.85,-15.53,35.13
2026-06-17,9,4,5,44.4,-14.22,22.56,-36.78,-1.65
2026-06-18,12,6,6,50.0,-68.14,53.55,-121.69,-123.34
2026-06-19,12,6,6,50.0,12.47,24.99,-12.52,-135.86
2026-06-22,12,6,6,50.0,8.11,21.64,-13.53,-149.39
2026-06-23,9,4,5,44.4,1.76,14.75,-12.99,-162.38
2026-06-24,17,7,10,41.2,113.08,51.54,61.54,-100.84
2026-06-25,7,5,2,71.4,51.79,14.64,37.15,-63.69
2026-06-29,11,5,6,45.5,47.52,15.63,31.89,-31.8
2026-06-30,16,6,10,37.5,-0.03,32.87,-32.9,-64.7
2026-07-01,16,7,9,43.8,4.93,39.73,-34.8,-99.5
2026-07-02,4,2,2,50.0,-12.03,9.01,-21.04,-120.54
2026-07-06,3,1,2,33.3,0.39,6.65,-6.26,-126.8
