Date,Stock_Name,Ticker,Side,Range_930_High,Range_930_Low,Entry_Time,Entry_Price,Exit1_Time,Exit1_Price,Exit1_PnL_Pct,Exit2_Time,Exit2_Price,Exit2_PnL_Pct,Gross_PnL_Pct,Trade_Fee_Amount,Net_Trade_PnL_Pct,Net_Trade_PnL_Amount,Trade_Status
2026-06-15,Aries Agro,ARIES.NS,SHORT,339.95,337.45,2026-06-15 09:45:00,339.95,2026-06-15 11:45:00,337.45,0.74,2026-06-15 15:00:00,336.25,1.09,0.91,2.46,0.77,19.24,WINNER
2026-06-15,Avalon Technologies,AVALON.NS,LONG,1742.6,1715.6,2026-06-15 09:45:00,1715.6,2026-06-15 10:00:00,1732.76,1.0,2026-06-15 10:00:00,1749.91,2.0,1.5,0.73,1.0,25.01,WINNER
2026-06-15,JSW Energy,JSWENERGY.NS,SHORT,568.25,565.6,2026-06-15 09:45:00,568.25,2026-06-15 10:00:00,565.6,0.47,2026-06-15 10:45:00,568.25,0.0,0.23,2.49,0.11,2.81,WINNER
2026-06-15,Karnataka Bank,KTKBANK.NS,SHORT,280.15,277.8,2026-06-15 09:45:00,280.15,2026-06-15 10:00:00,277.8,0.84,2026-06-15 11:15:00,274.55,2.0,1.42,2.44,1.17,29.37,WINNER
2026-06-15,Yes Bank,YESBANK.NS,SHORT,23.37,23.25,2026-06-15 09:45:00,23.37,2026-06-15 10:15:00,23.44,-0.3,2026-06-15 10:15:00,23.44,-0.3,-0.3,2.72,-0.41,-10.15,LOSER
2026-06-15,Vodafone Idea,IDEA.NS,LONG,15.23,15.05,2026-06-15 10:00:00,15.05,2026-06-15 14:30:00,15.0,-0.33,2026-06-15 14:30:00,15.0,-0.33,-0.33,2.73,-0.44,-11.03,LOSER
2026-06-15,Aries Agro,ARIES.NS,LONG,339.95,337.45,2026-06-15 10:15:00,337.45,2026-06-15 12:00:00,335.65,-0.53,2026-06-15 12:00:00,335.65,-0.53,-0.53,2.35,-0.6,-14.95,LOSER
2026-06-15,JSW Energy,JSWENERGY.NS,LONG,568.25,565.6,2026-06-15 10:15:00,565.6,2026-06-15 10:45:00,568.25,0.47,2026-06-15 11:30:00,565.6,0.0,0.23,2.48,0.11,2.82,WINNER
2026-06-15,Avalon Technologies,AVALON.NS,SHORT,1742.6,1715.6,2026-06-15 13:30:00,1742.6,2026-06-15 13:45:00,1725.17,1.0,2026-06-15 14:15:00,1742.6,0.0,0.5,1.17,0.3,7.54,WINNER
2026-06-16,BPCL,BPCL.NS,LONG,312.15,311.0,2026-06-16 09:45:00,311.0,2026-06-16 11:15:00,309.55,-0.47,2026-06-16 11:15:00,309.55,-0.47,-0.47,2.72,-0.57,-14.32,LOSER
