Date,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Pct,Gross_PnL_Amount,Total_Charges_Amount,Net_PnL_Amount,Cumulative_Net_PnL_Amount
2026-06-15,5,2,3,40.0,-11.38,13.23,-24.61,-24.61
2026-06-16,5,1,4,20.0,-6.59,13.33,-19.92,-44.53
2026-06-17,5,0,5,0.0,-30.55,13.03,-43.58,-88.11
2026-06-18,5,3,2,60.0,33.61,12.36,21.25,-66.86
2026-06-19,5,4,1,80.0,44.65,13.17,31.48,-35.38
2026-06-22,5,4,1,80.0,72.92,13.1,59.82,24.44
2026-06-23,5,1,4,20.0,4.05,13.32,-9.27,15.17
2026-06-24,5,4,1,80.0,68.38,13.53,54.85,70.02
2026-06-25,5,4,1,80.0,83.51,12.88,70.63,140.65
2026-06-29,5,2,3,40.0,14.91,13.3,1.61,142.26
2026-06-30,5,1,4,20.0,-17.44,13.17,-30.61,111.65
2026-07-01,5,3,2,60.0,58.59,13.12,45.47,157.12
2026-07-02,5,1,4,20.0,4.51,13.42,-8.91,148.21
2026-07-03,5,3,2,60.0,21.77,13.56,8.21,156.42
2026-07-06,5,2,3,40.0,46.35,13.2,33.15,189.57
2026-07-07,5,1,4,20.0,-0.57,12.46,-13.03,176.54
2026-07-08,5,3,2,60.0,58.73,13.24,45.49,222.03
2026-07-09,5,3,2,60.0,72.66,13.07,59.59,281.62
2026-07-10,5,3,2,60.0,17.57,13.2,4.37,285.99
2026-07-13,5,3,2,60.0,28.2,13.54,14.66,300.65
2026-07-14,5,3,2,60.0,24.67,12.61,12.06,312.71
2026-07-15,5,3,2,60.0,47.82,12.83,34.99,347.7
2026-07-16,5,3,2,60.0,63.9,13.22,50.68,398.38
2026-07-17,5,0,5,0.0,-36.46,10.89,-47.35,351.03
