Date,Stock_Name,Ticker,Side,Range_930_High,Range_930_Low,Entry_Time,Entry_Price,Exit1_Time,Exit1_Price,Exit1_PnL_Pct,Exit2_Time,Exit2_Price,Exit2_PnL_Pct,Gross_PnL_Pct,Trade_Fee_Amount,Net_Trade_PnL_Pct,Net_Trade_PnL_Amount,Trade_Status
2026-06-15,ASHOKLEY,ASHOKLEY.NS,SHORT,160.34,159.41,2026-06-15 09:55:00,160.34,2026-06-15 10:00:00,159.41,0.58,2026-06-15 10:15:00,160.34,0.0,0.29,2.56,0.18,4.41,WINNER
2026-06-15,YESBANK,YESBANK.NS,SHORT,23.37,23.25,2026-06-15 09:55:00,23.37,2026-06-15 10:25:00,23.44,-0.3,2026-06-15 10:25:00,23.44,-0.3,-0.3,2.72,-0.41,-10.15,LOSER
2026-06-15,ASHOKLEY,ASHOKLEY.NS,LONG,160.34,159.41,2026-06-15 10:00:00,159.41,2026-06-15 10:15:00,160.34,0.58,2026-06-15 10:45:00,159.41,0.0,0.29,2.52,0.18,4.46,WINNER
2026-06-15,IDEA,IDEA.NS,LONG,15.23,15.05,2026-06-15 10:10:00,15.05,2026-06-15 14:40:00,15.0,-0.33,2026-06-15 14:40:00,15.0,-0.33,-0.33,2.73,-0.44,-11.03,LOSER
2026-06-15,GROWW,GROWW.NS,SHORT,205.1,202.01,2026-06-15 10:20:00,205.1,2026-06-15 11:50:00,205.9,-0.39,2026-06-15 11:50:00,205.9,-0.39,-0.39,2.7,-0.49,-12.3,LOSER
2026-06-16,YESBANK,YESBANK.NS,SHORT,24.25,23.86,2026-06-16 09:55:00,24.25,2026-06-16 10:00:00,24.34,-0.37,2026-06-16 10:00:00,24.34,-0.37,-0.37,2.73,-0.48,-12.0,LOSER
2026-06-16,GMRAIRPORT,GMRAIRPORT.NS,LONG,110.5,108.89,2026-06-16 09:55:00,108.89,2026-06-16 10:15:00,108.51,-0.35,2026-06-16 10:15:00,108.51,-0.35,-0.35,2.62,-0.44,-10.98,LOSER
2026-06-16,IDEA,IDEA.NS,LONG,14.9,14.7,2026-06-16 10:30:00,14.7,2026-06-16 11:40:00,14.65,-0.34,2026-06-16 11:40:00,14.65,-0.34,-0.34,2.73,-0.45,-11.23,LOSER
2026-06-16,YESBANK,YESBANK.NS,LONG,24.25,23.86,2026-06-16 12:25:00,23.86,2026-06-16 13:40:00,23.7,-0.67,2026-06-16 13:40:00,23.7,-0.67,-0.67,2.71,-0.77,-19.35,LOSER
2026-06-16,HFCL,HFCL.NS,LONG,187.85,185.56,2026-06-16 13:15:00,185.56,2026-06-16 13:45:00,187.42,1.0,2026-06-16 15:05:00,189.27,2.0,1.5,2.54,1.35,33.64,WINNER
2026-06-17,CANBK,CANBK.NS,LONG,133.37,132.56,2026-06-17 09:50:00,132.56,2026-06-17 10:05:00,132.16,-0.3,2026-06-17 10:05:00,132.16,-0.3,-0.3,2.61,-0.39,-9.77,LOSER
2026-06-17,GROWW,GROWW.NS,LONG,202.91,201.38,2026-06-17 09:50:00,201.38,2026-06-17 10:05:00,200.78,-0.3,2026-06-17 10:05:00,200.78,-0.3,-0.3,2.64,-0.4,-9.89,LOSER
2026-06-17,HFCL,HFCL.NS,LONG,189.53,186.51,2026-06-17 10:10:00,186.51,2026-06-17 10:15:00,185.76,-0.4,2026-06-17 10:15:00,185.76,-0.4,-0.4,2.53,-0.49,-12.28,LOSER
2026-06-17,CANBK,CANBK.NS,SHORT,133.37,132.56,2026-06-17 10:30:00,133.37,2026-06-17 10:50:00,133.77,-0.3,2026-06-17 10:50:00,133.77,-0.3,-0.3,2.63,-0.39,-9.84,LOSER
2026-06-17,HFCL,HFCL.NS,SHORT,189.53,186.51,2026-06-17 12:40:00,189.53,2026-06-17 13:00:00,187.63,1.0,2026-06-17 13:30:00,191.3,-0.93,0.03,2.62,-0.07,-1.8,LOSER
2026-06-18,IDEA,IDEA.NS,LONG,14.97,14.91,2026-06-18 10:10:00,14.91,2026-06-18 10:25:00,14.86,-0.34,2026-06-18 10:25:00,14.86,-0.34,-0.34,2.71,-0.44,-11.06,LOSER
2026-06-18,YESBANK,YESBANK.NS,SHORT,25.7,25.33,2026-06-18 10:25:00,25.7,2026-06-18 11:55:00,25.44,1.0,2026-06-18 15:10:00,25.5,0.78,0.89,2.71,0.78,19.45,WINNER
2026-06-18,BEL,BEL.NS,LONG,427.35,423.45,2026-06-18 10:25:00,423.45,2026-06-18 11:55:00,427.35,0.92,2026-06-18 15:10:00,428.9,1.29,1.1,2.05,0.85,21.33,WINNER
2026-06-18,BEL,BEL.NS,SHORT,427.35,423.45,2026-06-18 11:35:00,427.35,2026-06-18 11:55:00,428.9,-0.36,2026-06-18 11:55:00,428.9,-0.36,-0.36,2.16,-0.4,-9.91,LOSER
2026-06-18,IDEA,IDEA.NS,SHORT,14.97,14.91,2026-06-18 13:50:00,14.97,2026-06-18 13:55:00,14.91,0.4,2026-06-18 15:00:00,14.98,-0.07,0.17,2.73,0.06,1.44,WINNER
2026-06-19,IDEA,IDEA.NS,LONG,15.05,14.97,2026-06-19 09:50:00,14.97,2026-06-19 11:10:00,15.05,0.53,2026-06-19 12:50:00,14.97,0.0,0.27,2.73,0.16,3.95,WINNER
2026-06-19,YESBANK,YESBANK.NS,LONG,25.56,25.32,2026-06-19 09:55:00,25.32,2026-06-19 10:35:00,25.56,0.95,2026-06-19 15:10:00,25.44,0.47,0.71,2.73,0.6,14.91,WINNER
2026-06-19,YESBANK,YESBANK.NS,SHORT,25.56,25.32,2026-06-19 10:40:00,25.56,2026-06-19 15:10:00,25.44,0.47,2026-06-19 15:10:00,25.44,0.47,0.47,2.7,0.36,8.94,WINNER
2026-06-19,INFY,INFY.NS,SHORT,1040.5,1030.1,2026-06-19 10:45:00,1040.5,2026-06-19 12:45:00,1043.62,-0.3,2026-06-19 12:45:00,1043.62,-0.3,-0.3,2.28,-0.34,-8.53,LOSER
2026-06-19,IDEA,IDEA.NS,SHORT,15.05,14.97,2026-06-19 11:45:00,15.05,2026-06-19 12:50:00,14.97,0.53,2026-06-19 15:10:00,14.95,0.66,0.6,2.73,0.49,12.21,WINNER
2026-06-22,GROWW,GROWW.NS,SHORT,197.89,196.6,2026-06-22 09:50:00,197.89,2026-06-22 10:05:00,196.6,0.65,2026-06-22 10:20:00,198.05,-0.08,0.29,2.6,0.17,4.18,WINNER
2026-06-22,GROWW,GROWW.NS,LONG,197.89,196.6,2026-06-22 09:55:00,196.6,2026-06-22 10:20:00,197.89,0.66,2026-06-22 15:10:00,197.8,0.61,0.63,2.6,0.49,12.34,WINNER
2026-06-22,YESBANK,YESBANK.NS,SHORT,25.33,25.09,2026-06-22 10:00:00,25.33,2026-06-22 12:45:00,25.09,0.95,2026-06-22 15:10:00,24.96,1.46,1.2,2.71,1.09,27.18,WINNER
2026-06-22,ZEEL,ZEEL.NS,LONG,115.25,114.45,2026-06-22 10:50:00,114.45,2026-06-22 10:55:00,115.25,0.7,2026-06-22 12:35:00,116.74,2.0,1.35,2.58,1.19,29.86,WINNER
2026-06-22,ZEEL,ZEEL.NS,SHORT,115.25,114.45,2026-06-22 11:00:00,115.25,2026-06-22 11:15:00,115.78,-0.46,2026-06-22 11:15:00,115.78,-0.46,-0.46,2.61,-0.55,-13.74,LOSER
2026-06-23,IDEA,IDEA.NS,LONG,14.97,14.85,2026-06-23 10:00:00,14.85,2026-06-23 10:30:00,14.81,-0.3,2026-06-23 10:30:00,14.81,-0.3,-0.3,2.73,-0.41,-10.21,LOSER
2026-06-23,PINELABS,PINELABS.NS,SHORT,151.94,150.17,2026-06-23 10:00:00,151.94,2026-06-23 10:55:00,150.42,1.0,2026-06-23 11:10:00,148.9,2.0,1.5,2.65,1.35,33.82,WINNER
2026-06-23,IRB,IRB.NS,LONG,21.98,21.76,2026-06-23 10:05:00,21.76,2026-06-23 10:20:00,21.68,-0.37,2026-06-23 10:20:00,21.68,-0.37,-0.37,2.71,-0.47,-11.83,LOSER
2026-06-23,ZEEL,ZEEL.NS,LONG,117.44,116.53,2026-06-23 10:05:00,116.53,2026-06-23 10:15:00,116.12,-0.35,2026-06-23 10:15:00,116.12,-0.35,-0.35,2.6,-0.45,-11.21,LOSER
2026-06-23,PINELABS,PINELABS.NS,LONG,151.94,150.17,2026-06-23 13:25:00,150.17,2026-06-23 13:35:00,149.72,-0.3,2026-06-23 13:35:00,149.72,-0.3,-0.3,2.63,-0.39,-9.84,LOSER
2026-06-24,IDEA,IDEA.NS,LONG,14.45,14.23,2026-06-24 09:50:00,14.23,2026-06-24 10:15:00,14.19,-0.3,2026-06-24 10:15:00,14.19,-0.3,-0.3,2.71,-0.41,-10.18,LOSER
2026-06-24,NMDC,NMDC.NS,LONG,85.24,84.22,2026-06-24 09:50:00,84.22,2026-06-24 10:45:00,85.06,1.0,2026-06-24 13:05:00,85.9,2.0,1.5,2.64,1.36,33.99,WINNER
2026-06-24,YESBANK,YESBANK.NS,LONG,24.98,24.83,2026-06-24 10:00:00,24.83,2026-06-24 10:05:00,24.98,0.6,2026-06-24 10:25:00,24.83,0.0,0.3,2.73,0.19,4.77,WINNER
2026-06-24,YESBANK,YESBANK.NS,SHORT,24.98,24.83,2026-06-24 10:05:00,24.98,2026-06-24 10:25:00,24.83,0.6,2026-06-24 11:50:00,24.98,0.0,0.3,2.73,0.19,4.77,WINNER
2026-06-24,IDEA,IDEA.NS,SHORT,14.45,14.23,2026-06-24 14:00:00,14.45,2026-06-24 15:10:00,14.31,0.97,2026-06-24 15:10:00,14.31,0.97,0.97,2.72,0.86,21.5,WINNER
2026-06-25,IDEA,IDEA.NS,SHORT,14.3,14.23,2026-06-25 09:50:00,14.3,2026-06-25 10:05:00,14.23,0.49,2026-06-25 13:50:00,14.01,2.0,1.24,2.71,1.13,28.26,WINNER
2026-06-25,HFCL,HFCL.NS,SHORT,215.0,213.27,2026-06-25 09:50:00,215.0,2026-06-25 09:55:00,213.27,0.8,2026-06-25 10:15:00,215.0,0.0,0.4,2.5,0.28,7.02,WINNER
2026-06-25,ASHOKLEY,ASHOKLEY.NS,LONG,160.0,158.81,2026-06-25 09:50:00,158.81,2026-06-25 11:25:00,160.0,0.75,2026-06-25 12:10:00,161.99,2.0,1.37,2.52,1.21,30.22,WINNER
2026-06-25,IDEA,IDEA.NS,LONG,14.3,14.23,2026-06-25 09:55:00,14.23,2026-06-25 10:50:00,14.18,-0.35,2026-06-25 10:50:00,14.18,-0.35,-0.35,2.71,-0.46,-11.46,LOSER
2026-06-25,HFCL,HFCL.NS,LONG,215.0,213.27,2026-06-25 09:55:00,213.27,2026-06-25 10:15:00,215.0,0.81,2026-06-25 15:10:00,215.0,0.81,0.81,2.44,0.66,16.59,WINNER
2026-06-29,YESBANK,YESBANK.NS,LONG,25.38,25.18,2026-06-29 09:50:00,25.18,2026-06-29 12:30:00,25.05,-0.52,2026-06-29 12:30:00,25.05,-0.52,-0.52,2.71,-0.62,-15.58,LOSER
2026-06-29,GMRAIRPORT,GMRAIRPORT.NS,LONG,111.59,110.56,2026-06-29 10:20:00,110.56,2026-06-29 11:00:00,109.84,-0.65,2026-06-29 11:00:00,109.84,-0.65,-0.65,2.65,-0.74,-18.49,LOSER
2026-06-29,YESBANK,YESBANK.NS,SHORT,25.38,25.18,2026-06-29 10:45:00,25.38,2026-06-29 11:30:00,25.18,0.79,2026-06-29 15:10:00,25.1,1.1,0.95,2.72,0.83,20.8,WINNER
2026-06-29,KOTAKBANK,KOTAKBANK.NS,SHORT,400.0,396.25,2026-06-29 11:05:00,400.0,2026-06-29 13:40:00,396.25,0.94,2026-06-29 15:10:00,395.45,1.14,1.04,2.62,0.89,22.28,WINNER
2026-06-29,KOTAKBANK,KOTAKBANK.NS,LONG,400.0,396.25,2026-06-29 13:25:00,396.25,2026-06-29 15:10:00,395.45,-0.2,2026-06-29 15:10:00,395.45,-0.2,-0.2,2.6,-0.3,-7.4,LOSER
2026-06-30,YESBANK,YESBANK.NS,LONG,25.08,24.92,2026-06-30 09:50:00,24.92,2026-06-30 10:15:00,24.85,-0.3,2026-06-30 10:15:00,24.85,-0.3,-0.3,2.73,-0.41,-10.2,LOSER
2026-06-30,GROWW,GROWW.NS,LONG,206.74,205.27,2026-06-30 10:00:00,205.27,2026-06-30 10:40:00,204.65,-0.3,2026-06-30 10:40:00,204.65,-0.3,-0.3,2.69,-0.4,-10.08,LOSER
2026-06-30,CANBK,CANBK.NS,SHORT,126.12,125.6,2026-06-30 10:15:00,126.12,2026-06-30 10:20:00,125.6,0.41,2026-06-30 11:20:00,126.28,-0.13,0.14,2.57,0.03,0.85,WINNER
2026-06-30,SAMMAANCAP,SAMMAANCAP.NS,SHORT,172.24,169.87,2026-06-30 10:20:00,172.24,2026-06-30 10:35:00,172.76,-0.3,2026-06-30 10:35:00,172.76,-0.3,-0.3,2.65,-0.4,-9.88,LOSER
2026-06-30,CANBK,CANBK.NS,LONG,126.12,125.6,2026-06-30 10:40:00,125.6,2026-06-30 11:20:00,126.12,0.41,2026-06-30 11:40:00,125.21,-0.31,0.05,2.53,-0.05,-1.3,LOSER
2026-07-01,KOTAKBANK,KOTAKBANK.NS,LONG,395.2,393.25,2026-07-01 09:50:00,393.25,2026-07-01 10:15:00,395.2,0.5,2026-07-01 15:00:00,401.12,2.0,1.25,2.61,1.07,26.84,WINNER
2026-07-01,IDEA,IDEA.NS,LONG,14.5,14.41,2026-07-01 10:10:00,14.41,2026-07-01 10:35:00,14.5,0.62,2026-07-01 11:40:00,14.7,2.0,1.31,2.74,1.2,29.97,WINNER
2026-07-01,HFCL,HFCL.NS,LONG,216.61,212.84,2026-07-01 10:10:00,212.84,2026-07-01 10:35:00,214.97,1.0,2026-07-01 13:10:00,212.84,0.0,0.5,2.43,0.37,9.28,WINNER
2026-07-01,KOTAKBANK,KOTAKBANK.NS,SHORT,395.2,393.25,2026-07-01 10:25:00,395.2,2026-07-01 11:45:00,396.5,-0.33,2026-07-01 11:45:00,396.5,-0.33,-0.33,2.6,-0.42,-10.4,LOSER
2026-07-01,IDEA,IDEA.NS,SHORT,14.5,14.41,2026-07-01 10:40:00,14.5,2026-07-01 10:55:00,14.54,-0.3,2026-07-01 10:55:00,14.54,-0.3,-0.3,2.74,-0.41,-10.22,LOSER
2026-07-02,IDEA,IDEA.NS,LONG,14.58,14.5,2026-07-02 09:50:00,14.5,2026-07-02 12:35:00,14.46,-0.3,2026-07-02 12:35:00,14.46,-0.3,-0.3,2.73,-0.41,-10.21,LOSER
2026-07-02,ZEEL,ZEEL.NS,LONG,104.83,103.85,2026-07-02 09:50:00,103.85,2026-07-02 10:00:00,104.83,0.94,2026-07-02 13:10:00,105.93,2.0,1.47,2.76,1.36,33.93,WINNER
2026-07-02,WIPRO,WIPRO.NS,SHORT,173.37,171.68,2026-07-02 10:05:00,173.37,2026-07-02 10:50:00,173.9,-0.31,2026-07-02 10:50:00,173.9,-0.31,-0.31,2.66,-0.4,-10.08,LOSER
2026-07-02,YESBANK,YESBANK.NS,LONG,24.49,24.37,2026-07-02 10:05:00,24.37,2026-07-02 11:35:00,24.29,-0.33,2026-07-02 11:35:00,24.29,-0.33,-0.33,2.72,-0.44,-10.88,LOSER
2026-07-02,CANBK,CANBK.NS,LONG,128.46,127.08,2026-07-02 11:20:00,127.08,2026-07-02 12:10:00,126.6,-0.38,2026-07-02 12:10:00,126.6,-0.38,-0.38,2.55,-0.47,-11.67,LOSER
2026-07-03,YESBANK,YESBANK.NS,SHORT,24.37,24.15,2026-07-03 09:55:00,24.37,2026-07-03 10:05:00,24.44,-0.3,2026-07-03 10:05:00,24.44,-0.3,-0.3,2.73,-0.41,-10.18,LOSER
2026-07-03,GMRAIRPORT,GMRAIRPORT.NS,LONG,111.42,110.82,2026-07-03 10:00:00,110.82,2026-07-03 10:45:00,111.42,0.54,2026-07-03 11:50:00,113.04,2.0,1.27,2.69,1.13,28.29,WINNER
2026-07-03,GMRAIRPORT,GMRAIRPORT.NS,SHORT,111.42,110.82,2026-07-03 10:30:00,111.42,2026-07-03 10:50:00,112.05,-0.57,2026-07-03 10:50:00,112.05,-0.57,-0.57,2.69,-0.66,-16.55,LOSER
2026-07-03,IDEA,IDEA.NS,SHORT,14.45,14.38,2026-07-03 11:05:00,14.45,2026-07-03 11:35:00,14.38,0.48,2026-07-03 12:00:00,14.45,0.0,0.24,2.73,0.13,3.32,WINNER
2026-07-03,IDEA,IDEA.NS,LONG,14.45,14.38,2026-07-03 11:40:00,14.38,2026-07-03 12:00:00,14.45,0.49,2026-07-03 13:05:00,14.38,0.0,0.24,2.72,0.13,3.33,WINNER
2026-07-06,YESBANK,YESBANK.NS,LONG,24.65,24.45,2026-07-06 09:50:00,24.45,2026-07-06 10:20:00,24.38,-0.3,2026-07-06 10:20:00,24.38,-0.3,-0.3,2.73,-0.41,-10.21,LOSER
2026-07-06,IDEA,IDEA.NS,SHORT,14.42,14.3,2026-07-06 09:55:00,14.42,2026-07-06 10:10:00,14.3,0.83,2026-07-06 14:45:00,14.13,2.0,1.42,2.71,1.3,32.61,WINNER
2026-07-06,IDEA,IDEA.NS,LONG,14.42,14.3,2026-07-06 10:15:00,14.3,2026-07-06 11:40:00,14.26,-0.3,2026-07-06 11:40:00,14.26,-0.3,-0.3,2.72,-0.41,-10.19,LOSER
2026-07-06,KOTAKBANK,KOTAKBANK.NS,SHORT,386.05,381.35,2026-07-06 11:25:00,386.05,2026-07-06 13:10:00,382.19,1.0,2026-07-06 15:10:00,381.45,1.19,1.1,2.53,0.91,22.85,WINNER
2026-07-06,KOTAKBANK,KOTAKBANK.NS,LONG,386.05,381.35,2026-07-06 13:50:00,381.35,2026-07-06 15:10:00,381.45,0.03,2026-07-06 15:10:00,381.45,0.03,0.03,2.51,-0.08,-1.91,LOSER
2026-07-07,IDEA,IDEA.NS,LONG,13.95,13.89,2026-07-07 09:50:00,13.89,2026-07-07 09:55:00,13.95,0.43,2026-07-07 10:00:00,13.86,-0.22,0.11,2.72,-0.0,-0.03,LOSER
2026-07-07,YESBANK,YESBANK.NS,LONG,24.22,24.05,2026-07-07 09:50:00,24.05,2026-07-07 12:30:00,23.98,-0.3,2026-07-07 12:30:00,23.98,-0.3,-0.3,2.69,-0.4,-10.12,LOSER
2026-07-07,IDEA,IDEA.NS,SHORT,13.95,13.89,2026-07-07 09:55:00,13.95,2026-07-07 10:00:00,13.89,0.43,2026-07-07 11:35:00,14.0,-0.36,0.04,2.73,-0.07,-1.83,LOSER
2026-07-07,HFCL,HFCL.NS,LONG,222.55,218.9,2026-07-07 09:55:00,218.9,2026-07-07 10:20:00,218.17,-0.33,2026-07-07 10:20:00,218.17,-0.33,-0.33,2.49,-0.42,-10.52,LOSER
2026-07-07,HDFCBANK,HDFCBANK.NS,SHORT,836.15,832.0,2026-07-07 11:15:00,836.15,2026-07-07 13:05:00,832.0,0.5,2026-07-07 15:10:00,829.0,0.86,0.68,1.83,0.38,9.47,WINNER
2026-07-08,IDEA,IDEA.NS,LONG,14.16,14.02,2026-07-08 10:05:00,14.02,2026-07-08 11:00:00,14.16,1.0,2026-07-08 14:05:00,14.01,-0.07,0.46,2.74,0.35,8.83,WINNER
2026-07-08,IDEA,IDEA.NS,SHORT,14.16,14.02,2026-07-08 10:55:00,14.16,2026-07-08 11:25:00,14.22,-0.42,2026-07-08 11:25:00,14.22,-0.42,-0.42,2.74,-0.53,-13.3,LOSER
2026-07-08,ITC,ITC.NS,LONG,285.6,283.3,2026-07-08 11:10:00,283.3,2026-07-08 14:10:00,282.25,-0.37,2026-07-08 14:10:00,282.25,-0.37,-0.37,2.48,-0.44,-10.88,LOSER
