Metric,Baseline 1:3 RR (Unfiltered),ML-Filtered 1:3 RR (P >= 0.50),Baseline 1:2 RR (Unfiltered),ML-Filtered 1:2 RR (P >= 0.50),ML-Filtered 1:2 RR (P >= 0.55),ML-Filtered 1:2 RR (P >= 0.60)
Starting Capital,"INR 100,000","INR 100,000","INR 100,000","INR 100,000","INR 100,000","INR 100,000"
Executed Trade Win Rate (%),42.25%,57.83%,54.87%,56.56%,60.25%,64.95%
Executed Trades (Total),"32,220","3,206","46,486","42,246","22,322","5,147"
Executed Winning Trades,"13,614","1,854","25,509","23,896","13,448","3,343"
Executed Losing Trades,"18,606","1,352","20,977","18,350","8,874","1,804"
Overall Signal Win Rate (%),44.39%,52.50%,55.35%,56.79%,59.44%,61.27%
Overall Total Signals,"66,522","6,377","66,691","49,486","27,397","8,730"
Final Portfolio Equity (INR),"INR 22,336,000","INR 4,310,000","INR 30,141,000","INR 29,542,000","INR 18,122,000","INR 4,982,000"
Total Portfolio Return (%),+22236.00%,+4210.00%,+30041.00%,+29442.00%,+18022.00%,+4882.00%
Compounded Annual Return (CAGR),38.40%,25.37%,40.92%,40.75%,36.67%,26.47%
Max Portfolio Drawdown (%),25.51%,14.77%,24.66%,11.24%,10.78%,9.80%
Profit Factor,2.20,4.11,2.43,2.60,3.03,3.71
