Strategy & C1 Filter Variant,C1 Submerged Rule,Executed Win Rate (%),Executed Trades,Zero-Brokerage Net Equity (Zerodha),Zero-Brokerage Net CAGR (%),Flat Rs20 Net Equity (FYERS),Flat Rs20 Net CAGR (%),Max DD (%),Total Statutory Taxes Paid
1:2 RR - Standard (All C1) Baseline,ALL,54.29%,"43,147","INR 24,161,869",39.06%,"INR 22,596,959",38.50%,28.89%,"INR 2,818,744"
1:2 RR - Standard (All C1) ML (P >= 0.50),ALL,56.40%,"40,985","INR 25,257,335",39.43%,"INR 23,414,301",38.79%,10.46%,"INR 2,976,679"
1:3 RR - Standard (All C1) Baseline,ALL,41.25%,"26,446","INR 15,382,145",35.33%,"INR 14,399,313",34.80%,31.77%,"INR 1,735,863"
1:3 RR - Standard (All C1) ML (P >= 0.50),ALL,57.79%,"3,080","INR 3,813,242",24.47%,"INR 3,762,595",24.37%,18.43%,"INR 289,755"
1:2 RR - C1 >= 70% Submerged Baseline,70PCT,55.90%,"25,615","INR 15,603,832",35.59%,"INR 14,597,040",35.04%,15.84%,"INR 1,712,916"
1:2 RR - C1 >= 70% Submerged ML (P >= 0.50),70PCT,56.73%,"23,392","INR 14,746,586",35.12%,"INR 14,195,750",34.81%,15.51%,"INR 1,663,632"
1:3 RR - C1 >= 70% Submerged Baseline,70PCT,42.58%,"19,894","INR 12,633,794",33.87%,"INR 12,301,121",33.66%,23.31%,"INR 1,333,803"
1:3 RR - C1 >= 70% Submerged ML (P >= 0.50),70PCT,57.35%,"2,903","INR 3,605,659",24.16%,"INR 3,536,322",24.01%,11.56%,"INR 246,263"
1:2 RR - C1 Fully Below Support Baseline,FULLY_BELOW,57.43%,"21,709","INR 14,206,989",34.87%,"INR 13,613,681",34.52%,16.46%,"INR 1,486,831"
1:2 RR - C1 Fully Below Support ML (P >= 0.50),FULLY_BELOW,58.26%,"20,031","INR 13,548,678",34.48%,"INR 13,004,709",34.15%,14.11%,"INR 1,435,731"
1:3 RR - C1 Fully Below Support Baseline,FULLY_BELOW,44.40%,"18,293","INR 12,946,582",34.11%,"INR 12,017,150",33.51%,21.35%,"INR 1,250,996"
1:3 RR - C1 Fully Below Support ML (P >= 0.50),FULLY_BELOW,57.82%,"3,210","INR 4,034,509",25.03%,"INR 3,927,397",24.83%,11.57%,"INR 261,809"
