Year,FD_Rate_Pct,Start_Equity,Interest_Earned,End_Equity
2010,7.5,100000.0,7500.0,107500.0
2011,9.25,107500.0,9943.75,117443.75
2012,8.75,117443.75,10276.33,127720.08
2013,8.75,127720.08,11175.51,138895.58
2014,8.5,138895.58,11806.12,150701.71
2015,7.75,150701.71,11679.38,162381.09
2016,7.0,162381.09,11366.68,173747.77
2017,6.75,173747.77,11727.97,185475.74
2018,6.75,185475.74,12519.61,197995.36
2019,6.5,197995.36,12869.7,210865.05
2020,5.4,210865.05,11386.71,222251.77
2021,5.1,222251.77,11334.84,233586.61
2022,6.1,233586.61,14248.78,247835.39
2023,7.0,247835.39,17348.48,265183.87
2024,7.1,265183.87,18828.05,284011.92
2025,6.8,284011.92,19312.81,303324.73
2026,6.5,303324.73,19716.11,323040.84
