Tx_ID,Trade_ID,Type,Date,Ticker,Level,Direction,Entry_Price,Exit_Price,Position_Size,Net_PnL,Return_Pct,Account_Balance,Outcome,Chart_PNG_URI
1,0,DEPOSIT,2026-05-01,N/A,N/A,N/A,0.0,0.0,0.0,0.0,0.0,1000.0,DEPOSIT,N/A
2,1,INTRADAY TRADE,2026-06-16 13:00,ADANIENT.NS,prev_day_high,LONG,2948.0,2935.5,2500.0,-13.325000000000001,-0.533,986.675,LOSS,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0001_ADANIENT.NS_LOSS.png
3,2,INTRADAY TRADE,2026-06-16 13:00,ADANIENT.NS,pivot_resistance,LONG,2948.0,2935.5,2466.6875,-13.147444375000001,-0.533,973.527555625,LOSS,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0002_ADANIENT.NS_LOSS.png
4,3,INTRADAY TRADE,2026-06-18 10:30,APOLLOHOSP.NS,pivot_resistance,LONG,8434.0,8403.0,2433.8188890625,-11.609316100828126,-0.477,961.9182395241719,LOSS,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0003_APOLLOHOSP.NS_LOSS.png
5,4,INTRADAY TRADE,2026-06-29 10:00,AUROPHARMA.NS,prev_day_high,SHORT,1578.6,1547.5,2404.7955988104295,44.7772940498502,1.862,1006.6955335740221,PROFIT,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0004_AUROPHARMA.NS_PROFIT.png
6,5,INTRADAY TRADE,2026-06-22 09:45,BAJFINANCE.NS,pivot_resistance,SHORT,967.65,969.8,2500.0,-8.3,-0.332,998.3955335740221,LOSS,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0005_BAJFINANCE.NS_LOSS.png
7,6,INTRADAY TRADE,2026-06-22 12:30,BAJFINANCE.NS,pivot_resistance,LONG,965.65,968.3,2495.9888339350555,4.118381575992841,0.165,1002.513915150015,PROFIT,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0006_BAJFINANCE.NS_PROFIT.png
8,7,INTRADAY TRADE,2026-06-18 12:00,BALKRISIND.NS,pivot_support,LONG,2223.5,2233.0,2500.0,7.925,0.317,1010.438915150015,PROFIT,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0007_BALKRISIND.NS_PROFIT.png
9,8,INTRADAY TRADE,2026-06-30 12:00,BANDHANBNK.NS,pivot_resistance,SHORT,203.32,205.1,2500.0,-24.650000000000002,-0.986,985.788915150015,LOSS,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0008_BANDHANBNK.NS_LOSS.png
10,9,INTRADAY TRADE,2026-06-19 10:00,BEL.NS,pivot_support,LONG,426.4,426.9,2464.4722878750376,0.19715778303000303,0.008,985.986072933045,PROFIT,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0009_BEL.NS_PROFIT.png
11,10,INTRADAY TRADE,2026-06-22 15:15,BEL.NS,pivot_resistance+prev_day_high,SHORT,431.2,431.1,2464.9651823326126,-2.1198700568060467,-0.086,983.866202876239,LOSS,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0010_BEL.NS_LOSS.png
12,11,INTRADAY TRADE,2026-06-22 10:00,BEL.NS,pivot_resistance,LONG,428.1,431.1,2459.6655071905975,14.53662314749643,0.591,998.4028260237354,PROFIT,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0011_BEL.NS_PROFIT.png
13,12,INTRADAY TRADE,2026-06-23 09:45,BEL.NS,pivot_resistance+prev_day_high,LONG,431.65,429.8,2496.0070650593384,-13.428518010019241,-0.538,984.9743080137162,LOSS,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0012_BEL.NS_LOSS.png
14,13,INTRADAY TRADE,2026-07-06 10:00,BEL.NS,pivot_resistance+prev_day_high,SHORT,426.1,425.2,2462.4357700342903,2.5116844854349756,0.102,987.4859924991512,PROFIT,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0013_BEL.NS_PROFIT.png
15,14,INTRADAY TRADE,2026-07-06 10:00,BEL.NS,pivot_resistance,SHORT,426.1,425.2,2468.714981247878,2.518089280872835,0.102,990.004081780024,PROFIT,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0014_BEL.NS_PROFIT.png
16,15,INTRADAY TRADE,2026-06-29 10:15,BEML.NS,pivot_resistance,SHORT,1766.2,1709.2,2475.01020445006,77.22031837884188,3.12,1067.2244001588658,PROFIT,file:///C:/DATA/CODE/Stocks/BackTest/Plots/intraday_trades/Intraday_Trade_0015_BEML.NS_PROFIT.png
