Date,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Pct,Gross_PnL_Amount,Total_Charges_Amount,Net_PnL_Amount,Cumulative_Net_PnL_Amount
2026-06-15,5,2,3,40.0,15.6,13.4,2.2,2.2
2026-06-16,5,0,5,0.0,-64.72,13.2,-77.92,-75.72
2026-06-17,5,0,5,0.0,-49.05,13.42,-62.47,-138.19
2026-06-18,5,2,3,40.0,33.77,12.36,21.41,-116.78
2026-06-19,5,2,3,40.0,4.11,12.92,-8.81,-125.59
2026-06-22,5,3,2,60.0,27.31,12.62,14.69,-110.9
2026-06-23,5,1,4,20.0,1.81,13.21,-11.4,-122.3
2026-06-24,5,2,3,40.0,47.15,13.33,33.82,-88.48
2026-06-25,5,5,0,100.0,90.01,13.11,76.9,-11.58
2026-06-29,5,0,5,0.0,-53.35,13.46,-66.81,-78.39
2026-06-30,5,0,5,0.0,-50.88,13.35,-64.23,-142.62
2026-07-01,5,1,4,20.0,0.05,13.01,-12.96,-155.58
2026-07-02,5,1,4,20.0,1.82,13.42,-11.6,-167.18
2026-07-03,5,2,3,40.0,35.61,13.62,21.99,-145.19
2026-07-06,5,2,3,40.0,13.83,12.79,1.04,-144.15
2026-07-07,5,2,3,40.0,-11.55,12.25,-23.8,-167.95
2026-07-08,5,1,4,20.0,-21.54,13.12,-34.66,-202.61
2026-07-09,4,3,1,75.0,71.04,10.38,60.66,-141.95
2026-07-10,5,2,3,40.0,-9.49,13.19,-22.68,-164.63
2026-07-13,5,3,2,60.0,-27.85,11.61,-39.46,-204.09
2026-07-14,5,0,5,0.0,-38.83,13.22,-52.05,-256.14
2026-07-15,5,3,2,60.0,13.79,12.92,0.87,-255.27
2026-07-16,5,3,2,60.0,34.03,12.76,21.27,-234.0
2026-07-17,5,1,4,20.0,-28.33,10.86,-39.19,-273.19
