Date,Stock_Name,Ticker,Side,Range_930_High,Range_930_Low,Entry_Time,Entry_Price,Exit1_Time,Exit1_Price,Exit1_PnL_Pct,Exit2_Time,Exit2_Price,Exit2_PnL_Pct,Gross_PnL_Pct,Trade_Fee_Amount,Net_Trade_PnL_Pct,Net_Trade_PnL_Amount,Trade_Status
2026-06-15,ZEEL,ZEEL.NS,SHORT,111.65,109.85,2026-06-15 09:50:00,111.65,2026-06-15 10:55:00,110.53,1.0,2026-06-15 15:00:00,109.42,2.0,1.5,2.68,1.37,34.17,WINNER
2026-06-15,YESBANK,YESBANK.NS,SHORT,23.37,23.25,2026-06-15 09:50:00,23.37,2026-06-15 10:26:00,23.44,-0.3,2026-06-15 10:26:00,23.44,-0.3,-0.3,2.72,-0.41,-10.15,LOSER
2026-06-15,ASHOKLEY,ASHOKLEY.NS,SHORT,160.34,159.41,2026-06-15 09:50:00,160.34,2026-06-15 09:59:00,159.41,0.58,2026-06-15 10:18:00,160.58,-0.15,0.22,2.57,0.1,2.61,WINNER
2026-06-15,GROWW,GROWW.NS,SHORT,205.1,202.01,2026-06-15 10:01:00,205.1,2026-06-15 10:02:00,205.72,-0.3,2026-06-15 10:02:00,205.72,-0.3,-0.3,2.7,-0.4,-10.08,LOSER
2026-06-15,IDEA,IDEA.NS,LONG,15.23,15.05,2026-06-15 10:10:00,15.05,2026-06-15 14:43:00,14.98,-0.47,2026-06-15 14:43:00,14.98,-0.47,-0.47,2.73,-0.57,-14.35,LOSER
2026-06-16,IDEA,IDEA.NS,LONG,14.9,14.7,2026-06-16 09:50:00,14.7,2026-06-16 09:51:00,14.61,-0.61,2026-06-16 09:51:00,14.61,-0.61,-0.61,2.73,-0.72,-18.03,LOSER
2026-06-16,HFCL,HFCL.NS,LONG,187.85,185.56,2026-06-16 09:50:00,185.56,2026-06-16 09:51:00,184.79,-0.41,2026-06-16 09:51:00,184.79,-0.41,-0.41,2.51,-0.5,-12.52,LOSER
2026-06-16,GMRAIRPORT,GMRAIRPORT.NS,LONG,110.5,108.89,2026-06-16 09:50:00,108.89,2026-06-16 10:17:00,108.55,-0.31,2026-06-16 10:17:00,108.55,-0.31,-0.31,2.62,-0.4,-10.1,LOSER
2026-06-16,YESBANK,YESBANK.NS,SHORT,24.25,23.86,2026-06-16 09:54:00,24.25,2026-06-16 10:01:00,24.42,-0.7,2026-06-16 10:01:00,24.42,-0.7,-0.7,2.73,-0.81,-20.24,LOSER
2026-06-16,MEESHO,MEESHO.NS,SHORT,169.89,167.61,2026-06-16 10:07:00,169.89,2026-06-16 10:08:00,170.92,-0.61,2026-06-16 10:08:00,170.92,-0.61,-0.61,2.61,-0.68,-17.03,LOSER
2026-06-17,YESBANK,YESBANK.NS,SHORT,24.43,24.25,2026-06-17 09:50:00,24.43,2026-06-17 09:51:00,24.58,-0.61,2026-06-17 09:51:00,24.58,-0.61,-0.61,2.74,-0.72,-18.04,LOSER
2026-06-17,CANBK,CANBK.NS,LONG,133.37,132.56,2026-06-17 09:50:00,132.56,2026-06-17 10:06:00,132.13,-0.32,2026-06-17 10:06:00,132.13,-0.32,-0.32,2.61,-0.41,-10.35,LOSER
2026-06-17,IDEA,IDEA.NS,SHORT,14.63,14.49,2026-06-17 09:50:00,14.63,2026-06-17 09:53:00,14.69,-0.41,2026-06-17 09:53:00,14.69,-0.41,-0.41,2.73,-0.52,-12.93,LOSER
2026-06-17,GROWW,GROWW.NS,LONG,202.91,201.38,2026-06-17 09:50:00,201.38,2026-06-17 10:08:00,200.68,-0.35,2026-06-17 10:08:00,200.68,-0.35,-0.35,2.64,-0.44,-11.04,LOSER
2026-06-17,PINELABS,PINELABS.NS,LONG,156.58,154.34,2026-06-17 09:57:00,154.34,2026-06-17 09:58:00,153.88,-0.3,2026-06-17 09:58:00,153.88,-0.3,-0.3,2.7,-0.4,-10.11,LOSER
2026-06-18,HDFCBANK,HDFCBANK.NS,SHORT,798.95,792.4,2026-06-18 09:50:00,798.95,2026-06-18 09:55:00,801.35,-0.3,2026-06-18 09:55:00,801.35,-0.3,-0.3,2.29,-0.38,-9.48,LOSER
2026-06-18,IDEA,IDEA.NS,LONG,14.97,14.91,2026-06-18 09:51:00,14.91,2026-06-18 10:28:00,14.86,-0.34,2026-06-18 10:28:00,14.86,-0.34,-0.34,2.71,-0.44,-11.06,LOSER
2026-06-18,HFCL,HFCL.NS,LONG,197.6,195.35,2026-06-18 09:55:00,195.35,2026-06-18 10:31:00,197.3,1.0,2026-06-18 11:11:00,199.26,2.0,1.5,2.59,1.3,32.57,WINNER
2026-06-18,YESBANK,YESBANK.NS,SHORT,25.7,25.33,2026-06-18 09:56:00,25.7,2026-06-18 09:57:00,25.78,-0.3,2026-06-18 09:57:00,25.78,-0.3,-0.3,2.72,-0.41,-10.2,LOSER
2026-06-18,BEL,BEL.NS,LONG,427.35,423.45,2026-06-18 10:25:00,423.45,2026-06-18 11:55:00,427.35,0.92,2026-06-18 15:29:00,428.2,1.12,1.02,2.05,0.78,19.58,WINNER
2026-06-19,IDEA,IDEA.NS,LONG,15.05,14.97,2026-06-19 09:50:00,14.97,2026-06-19 11:12:00,15.05,0.53,2026-06-19 12:50:00,14.97,0.0,0.27,2.73,0.16,3.95,WINNER
2026-06-19,HFCL,HFCL.NS,SHORT,209.61,207.98,2026-06-19 09:50:00,209.61,2026-06-19 15:29:00,209.61,0.0,2026-06-19 15:29:00,209.61,0.0,0.0,2.44,-0.1,-2.44,LOSER
2026-06-19,YESBANK,YESBANK.NS,LONG,25.56,25.32,2026-06-19 09:51:00,25.32,2026-06-19 10:38:00,25.56,0.95,2026-06-19 15:29:00,25.42,0.39,0.67,2.73,0.56,13.93,WINNER
2026-06-19,INFY,INFY.NS,SHORT,1040.5,1030.1,2026-06-19 09:52:00,1040.5,2026-06-19 09:55:00,1043.62,-0.3,2026-06-19 09:55:00,1043.62,-0.3,-0.3,2.28,-0.34,-8.53,LOSER
2026-06-19,ZEEL,ZEEL.NS,SHORT,113.5,112.36,2026-06-19 09:55:00,113.5,2026-06-19 09:58:00,114.09,-0.52,2026-06-19 09:58:00,114.09,-0.52,-0.52,2.74,-0.63,-15.72,LOSER
2026-06-22,HDFCBANK,HDFCBANK.NS,LONG,788.0,784.0,2026-06-22 09:50:00,784.0,2026-06-22 10:29:00,788.0,0.51,2026-06-22 15:29:00,785.6,0.2,0.36,2.05,0.25,6.35,WINNER
2026-06-22,ZEEL,ZEEL.NS,LONG,115.25,114.45,2026-06-22 09:50:00,114.45,2026-06-22 09:53:00,113.93,-0.45,2026-06-22 09:53:00,113.93,-0.45,-0.45,2.55,-0.54,-13.47,LOSER
2026-06-22,GROWW,GROWW.NS,SHORT,197.89,196.6,2026-06-22 09:51:00,197.89,2026-06-22 10:06:00,196.6,0.65,2026-06-22 10:23:00,197.89,0.0,0.33,2.6,0.21,5.14,WINNER
