Ticker,Index_Membership,Liquidity_Type,Support_Price,Sweep_Date,Red_Candles_Before_C1,C1_Date,C1_Open,C1_High,C1_Low,C1_Close,C1_Candle_Type,Intermediary_Candles_Count,C2_Date,C2_Open,C2_High,C2_Low,C2_Close,C2_Is_Green,C2_Closed_Above_C1_High,Scenario,Entry_Mode,Entry_Price,SL_Price,Target_Price,Risk_Per_Share,Position_Size,Outcome,Exit_Date,Max_MFE_Ratio,Net_PnL,Capital_Allocated,Portfolio_Equity_At_Entry
BBTC.NS,Other,Weekly,55.6,2010-01-04,0,2010-01-04,55.44,60.46,55.44,60.46,Marubozu,0,2010-01-05,62.59,63.49,62.59,63.49,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),60.52,55.38,75.93,5.14,194,Success,2010-01-08,3.21,3000.0,11740.880000000001,100000.0
SAKHTISUG.NS,Other,Weekly,86.0,2010-01-21,1,2010-01-22,85.0,87.75,81.4,85.15,Standard Green,0,2010-01-25,85.15,88.8,85.0,87.95,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),87.84,81.32,107.4,6.52,153,Fail,2010-01-27,0.16,-1000.0,13439.52,103000.0
IVC.NS,Other,Weekly,41.1,2010-01-22,0,2010-01-22,42.05,42.75,40.7,42.3,Standard Green,0,2010-01-25,42.5,44.25,42.0,43.25,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),42.79,40.66,49.19,2.13,468,Fail,2010-01-27,0.33,-1000.0,20025.72,103000.0
WELCORP.NS,Other,Weekly,255.3,2010-01-22,0,2010-01-22,264.5,270.0,249.0,266.0,Standard Green,0,2010-01-25,265.2,273.9,259.15,270.5,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),270.27,248.75,334.83,21.52,46,Fail,2010-02-05,0.0,-1000.0,12432.419999999998,103000.0
BAJAJHIND.NS,Other,Weekly,168.19,2010-01-22,0,2010-01-22,168.9,174.86,162.15,172.91,Standard Green,0,2010-01-25,169.83,181.91,166.03,179.97,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),175.03,161.98,214.17,13.05,76,Fail,2010-01-29,0.81,-1000.0,13302.28,103000.0
BALRAMCHIN.NS,Other,Weekly,120.2,2010-01-22,0,2010-01-22,123.0,125.0,118.8,123.95,Standard Green,0,2010-01-25,125.0,127.35,121.6,126.5,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),125.12,118.68,144.46,6.44,155,Fail,2010-01-28,0.28,-1000.0,19393.600000000002,103000.0
VINDHYATEL.NS,Other,Weekly,178.9,2010-01-27,0,2010-01-27,175.0,195.0,175.0,186.2,Standard Green,0,2010-01-28,186.0,201.8,181.0,200.7,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),195.19,174.82,256.3,20.37,49,Fail,2010-02-23,0.38,-1000.0,9564.31,100000.0
PNB.NS,Nifty 100,Weekly,174.32,2010-01-27,1,2010-01-28,170.0,178.0,170.0,176.17,Standard Green,0,2010-01-29,175.56,180.2,171.4,179.73,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),178.18,169.83,203.22,8.35,119,Fail,2010-02-05,0.38,-1000.0,21203.420000000002,99000.0
AIAENG.NS,Other,Weekly,326.1,2010-01-27,1,2010-01-28,328.6,345.0,315.0,341.3,Standard Green,0,2010-01-29,327.6,350.5,327.6,345.05,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),345.34,314.68,437.32,30.66,32,Success,2010-11-02,4.65,3000.0,11050.88,99000.0
HUBTOWN.NS,Other,Weekly,500.0,2010-01-22,1,2010-01-28,496.0,502.5,485.35,499.85,Standard Green,0,2010-01-29,493.05,511.5,492.15,506.4,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),503.0,484.86,557.42,18.14,55,Fail,2010-02-04,1.05,-1000.0,27665.0,99000.0
CANBK.NS,Nifty 100,Weekly,70.46,2010-01-29,0,2010-01-29,72.75,77.61,69.99,75.94,Standard Green,0,2010-02-01,75.67,79.0,75.06,78.67,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),77.69,69.92,100.98,7.76,128,Success,2010-08-17,3.06,3000.0,9944.32,99000.0
DCAL.NS,Other,Weekly,105.05,2010-01-29,1,2010-02-05,100.0,104.5,98.5,103.78,Standard Green,0,2010-02-06,104.93,107.0,104.55,105.03,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),104.6,98.4,123.21,6.2,161,Fail,2010-02-24,0.71,-1000.0,16840.6,96000.0
LT.NS,Nifty 50,Weekly,680.0,2010-01-21,2,2010-02-05,628.89,641.16,617.73,632.89,Standard Green,0,2010-02-08,640.0,649.78,628.22,641.98,True,True,Scenario 1 (Green & Close > C1 High),Mode B (C1 High + 0.1%),641.8,617.12,715.84,24.68,40,Success,2010-03-02,3.33,3000.0,25672.0,96000.0
