Target RR,Win Rate (%),Final Equity (INR),Total Return (%),CAGR (%),Max DD (%),Profit Factor,Trades Executed
1:2,54.41%,"27,566,000","27,466.00%",40.16%,25.66%,2.39,43430
1:3,41.46%,"18,306,000","18,206.00%",36.76%,28.57%,2.12,27658
1:4,33.65%,"12,517,000","12,417.00%",33.67%,35.46%,2.03,18193
1:5,29.24%,"14,573,000","14,473.00%",34.89%,24.84%,2.07,19181
1:6,24.60%,"6,180,000","6,080.00%",28.12%,37.80%,1.96,8417
1:7,22.29%,"6,477,000","6,377.00%",28.48%,35.58%,2.01,8143
1:8,20.96%,"5,157,000","5,057.00%",26.73%,36.05%,2.12,5707
1:9,19.16%,"4,600,000","4,500.00%",25.86%,35.81%,2.13,4910
1:10,16.99%,"3,475,000","3,375.00%",23.76%,37.22%,2.05,3885
1:11,16.78%,"4,124,000","4,024.00%",25.04%,42.62%,2.22,3968
1:12,15.10%,"4,489,000","4,389.00%",25.68%,41.53%,2.13,4555
1:15,11.16%,"1,486,000","1,386.00%",17.60%,47.81%,1.88,1766
