Transaction_ID,Trade_ID,Type,Date,Ticker,Liquidity_Source,Support_Price,Quantity,Price,Total_Spend,Gross_PnL,Statutory_Taxes,Net_PnL,Return_Pct,Balance,Target_RR_Mode,Outcome,Chart_PNG_URI
1,0,DEPOSIT,2010-01-01,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,N/A,DEPOSIT,N/A
2,1,BUY (ENTRY),2010-01-05,BBTC.NS,Weekly,55.6,82,60.52,4962.64,0.0,0.0,0.0,0.0,5037.36,1:2,OPEN,N/A
3,1,SELL (EXIT),2010-01-08,BBTC.NS,Weekly,55.6,82,70.79,4962.64,842.14,27.83,814.31,16.408806602937144,10814.310000000001,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0001_BBTC.NS_2010-01-05_PROFIT.png
4,2,BUY (ENTRY),2010-01-25,SAKHTISUG.NS,Weekly,86.0,61,87.84,5358.24,0.0,0.0,0.0,0.0,5456.0700000000015,1:2,OPEN,N/A
5,3,BUY (ENTRY),2010-01-25,BALRAMCHIN.NS,Weekly,120.2,21,125.12,2627.52,0.0,0.0,0.0,0.0,2828.5500000000015,1:2,OPEN,N/A
6,2,SELL (EXIT),2010-01-28,SAKHTISUG.NS,Weekly,86.0,61,81.32,5358.24,-397.72,27.43,-425.15,-7.934508346024067,10389.16,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0002_SAKHTISUG.NS_2010-01-25_LOSS.png
7,3,SELL (EXIT),2010-01-28,BALRAMCHIN.NS,Weekly,120.2,21,118.68,2627.52,-135.24,21.63,-156.87,-5.970268542199489,5299.200000000002,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0003_BALRAMCHIN.NS_2010-01-25_LOSS.png
8,4,BUY (ENTRY),2010-01-28,VINDHYATEL.NS,Weekly,178.9,13,195.19,2537.47,0.0,0.0,0.0,0.0,2761.730000000002,1:2,OPEN,N/A
9,5,BUY (ENTRY),2010-01-29,ARE&M.NS,Weekly,76.55,17,77.48,1317.16,0.0,0.0,0.0,0.0,1444.5700000000018,1:2,OPEN,N/A
10,5,SELL (EXIT),2010-02-05,ARE&M.NS,Weekly,76.55,17,73.68,1317.16,-64.6,18.79,-83.39,-6.3310455829208285,2678.340000000002,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0005_ARE&M.NS_2010-01-29_LOSS.png
11,6,BUY (ENTRY),2010-02-06,DCAL.NS,Weekly,105.05,12,104.6,1255.1999999999998,0.0,0.0,0.0,0.0,1423.1400000000021,1:2,OPEN,N/A
12,4,SELL (EXIT),2010-02-24,VINDHYATEL.NS,Weekly,178.9,13,174.82,2537.47,-264.81,21.3,-286.11,-11.27540424123241,5013.090000000002,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0004_VINDHYATEL.NS_2010-01-28_LOSS.png
13,6,SELL (EXIT),2010-02-24,DCAL.NS,Weekly,105.05,12,98.4,1255.1999999999998,-74.4,18.64,-93.04,-7.41236456341619,2585.300000000002,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0006_DCAL.NS_2010-02-06_LOSS.png
14,7,BUY (ENTRY),2010-02-24,UNITECH.NS,Weekly,67.6,18,69.77,1255.86,0.0,0.0,0.0,0.0,1329.440000000002,1:2,OPEN,N/A
15,8,BUY (ENTRY),2010-02-24,SAMBHAAV.NS,Weekly,2.45,265,2.5,662.5,0.0,0.0,0.0,0.0,666.9400000000021,1:2,OPEN,N/A
16,7,SELL (EXIT),2010-03-31,UNITECH.NS,Weekly,67.6,18,74.94,1255.86,93.06,18.82,74.24,5.911486949182234,2659.5400000000022,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0007_UNITECH.NS_2010-02-24_PROFIT.png
17,9,BUY (ENTRY),2010-03-03,HITECHCORP.NS,Weekly,83.0,14,91.09,1275.26,0.0,0.0,0.0,0.0,1384.2800000000022,1:2,OPEN,N/A
18,9,SELL (EXIT),2010-03-10,HITECHCORP.NS,Weekly,83.0,14,82.62,1275.26,-118.58,18.64,-137.22,-10.760158712733089,2522.3200000000024,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0009_HITECHCORP.NS_2010-03-03_LOSS.png
19,10,BUY (ENTRY),2010-03-11,NEULANDLAB.NS,Weekly,81.01,15,83.17,1247.55,0.0,0.0,0.0,0.0,1274.7700000000025,1:2,OPEN,N/A
20,10,SELL (EXIT),2010-03-16,NEULANDLAB.NS,Weekly,81.01,15,81.02,1247.55,-32.25,18.67,-50.92,-4.081599935874314,2471.4000000000024,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0010_NEULANDLAB.NS_2010-03-11_LOSS.png
21,11,BUY (ENTRY),2010-03-16,SUBEXLTD.NS,Weekly,55.65,20,61.66,1233.1999999999998,0.0,0.0,0.0,0.0,1238.2000000000025,1:2,OPEN,N/A
22,8,SELL (EXIT),2010-05-17,SAMBHAAV.NS,Weekly,2.45,265,2.91,662.5,108.65,17.51,91.14,13.756981132075472,1420.5800000000022,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0008_SAMBHAAV.NS_2010-02-24_PROFIT.png
23,12,BUY (ENTRY),2010-03-31,NOCIL.NS,Monthly,21.15,32,22.12,707.84,0.0,0.0,0.0,0.0,712.7400000000022,1:2,OPEN,N/A
24,12,SELL (EXIT),2010-04-09,NOCIL.NS,Monthly,21.15,32,24.01,707.84,60.48,17.57,42.91,6.062104430379746,1463.490000000002,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0012_NOCIL.NS_2010-03-31_PROFIT.png
25,13,BUY (ENTRY),2010-04-12,ZENSARTECH.NS,Weekly,27.41,25,29.02,725.5,0.0,0.0,0.0,0.0,737.990000000002,1:2,OPEN,N/A
26,13,SELL (EXIT),2010-04-13,ZENSARTECH.NS,Weekly,27.41,25,31.86,725.5,71.0,17.62,53.38,7.357684355616817,1516.8700000000022,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0013_ZENSARTECH.NS_2010-04-12_PROFIT.png
27,14,BUY (ENTRY),2010-04-19,TTKHLTCARE.NS,Weekly,255.65,2,299.3,598.6,0.0,0.0,0.0,0.0,918.2700000000021,1:2,OPEN,N/A
28,14,SELL (EXIT),2010-04-20,TTKHLTCARE.NS,Weekly,255.65,2,322.47,598.6,46.34,17.31,29.03,4.849649181423321,1545.9000000000024,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0014_TTKHLTCARE.NS_2010-04-19_PROFIT.png
29,15,BUY (ENTRY),2010-04-20,MTNL.NS,Weekly,71.75,10,72.87,728.7,0.0,0.0,0.0,0.0,817.2000000000023,1:2,OPEN,N/A
30,15,SELL (EXIT),2010-04-28,MTNL.NS,Weekly,71.75,10,71.63,728.7,-12.4,17.54,-29.94,-4.1086867023466445,1515.9600000000023,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0015_MTNL.NS_2010-04-20_LOSS.png
31,16,BUY (ENTRY),2010-04-28,EIMCOELECO.NS,Weekly,225.0,2,265.26,530.52,0.0,0.0,0.0,0.0,985.4400000000023,1:2,OPEN,N/A
32,11,SELL (EXIT),2010-05-24,SUBEXLTD.NS,Weekly,55.65,20,51.95,1233.1999999999998,-194.2,18.47,-212.67,-17.245377878689588,2258.7300000000023,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0011_SUBEXLTD.NS_2010-03-16_LOSS.png
33,17,BUY (ENTRY),2010-05-17,NESTLEIND.NS,Weekly,122.1,7,142.64,998.4799999999999,0.0,0.0,0.0,0.0,1260.2500000000023,1:2,OPEN,N/A
34,16,SELL (EXIT),2010-11-09,EIMCOELECO.NS,Weekly,225.0,2,220.78,530.52,-88.96,17.02,-105.98,-19.976626705873485,1409.9800000000023,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0016_EIMCOELECO.NS_2010-04-28_LOSS.png
35,18,BUY (ENTRY),2010-05-24,UBL.NS,Weekly,192.05,3,195.14,585.42,0.0,0.0,0.0,0.0,824.5600000000023,1:2,OPEN,N/A
36,18,SELL (EXIT),2010-05-25,UBL.NS,Weekly,192.05,3,187.81,585.42,-21.99,17.21,-39.2,-6.696047282293055,1370.7800000000025,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0018_UBL.NS_2010-05-24_LOSS.png
37,19,BUY (ENTRY),2010-05-26,KIRLOSBROS.NS,Weekly,255.0,2,257.11,514.22,0.0,0.0,0.0,0.0,856.5600000000024,1:2,OPEN,N/A
38,19,SELL (EXIT),2010-10-19,KIRLOSBROS.NS,Weekly,255.0,2,234.76,514.22,-44.7,17.03,-61.73,-12.004589475321845,1309.0500000000025,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0019_KIRLOSBROS.NS_2010-05-26_LOSS.png
39,20,BUY (ENTRY),2010-10-20,SKFINDIA.NS,Weekly,564.9,1,579.48,579.48,0.0,0.0,0.0,0.0,729.5700000000024,1:2,OPEN,N/A
40,20,SELL (EXIT),2010-10-22,SKFINDIA.NS,Weekly,564.9,1,563.44,579.48,-16.04,17.2,-33.24,-5.736177262373162,1275.8100000000024,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0020_SKFINDIA.NS_2010-10-20_LOSS.png
41,21,BUY (ENTRY),2010-10-22,TARAPUR.NS,Weekly,34.0,18,33.93,610.74,0.0,0.0,0.0,0.0,665.0700000000024,1:2,OPEN,N/A
42,21,SELL (EXIT),2010-10-25,TARAPUR.NS,Weekly,34.0,18,36.77,610.74,51.12,17.34,33.78,5.530995186167599,1309.5900000000024,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0021_TARAPUR.NS_2010-10-22_PROFIT.png
43,22,BUY (ENTRY),2010-10-25,KINGFA.NS,Weekly,32.53,19,33.0,627.0,0.0,0.0,0.0,0.0,682.5900000000024,1:2,OPEN,N/A
44,22,SELL (EXIT),2010-11-01,KINGFA.NS,Weekly,32.53,19,31.91,627.0,-20.71,17.3,-38.01,-6.062200956937799,1271.5800000000024,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0022_KINGFA.NS_2010-10-25_LOSS.png
45,23,BUY (ENTRY),2010-11-01,EMAMILTD.NS,Weekly,150.72,4,154.15,616.6,0.0,0.0,0.0,0.0,654.9800000000024,1:2,OPEN,N/A
46,23,SELL (EXIT),2010-11-02,EMAMILTD.NS,Weekly,150.72,4,167.42,616.6,53.08,17.36,35.72,5.793058709049627,1307.3000000000025,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0023_EMAMILTD.NS_2010-11-01_PROFIT.png
47,24,BUY (ENTRY),2010-11-02,DCMSHRIRAM.NS,Weekly,48.3,13,47.85,622.0500000000001,0.0,0.0,0.0,0.0,685.2500000000024,1:2,OPEN,N/A
48,24,SELL (EXIT),2010-11-08,DCMSHRIRAM.NS,Weekly,48.3,13,50.64,622.0500000000001,36.27,17.35,18.92,3.041556145004421,1326.2200000000025,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/plot_statement_trades/Trade_0024_DCMSHRIRAM.NS_2010-11-02_PROFIT.png
