Transaction_ID,Trade_ID,Type,Date,Ticker,Liquidity_Source,Support_Price,Quantity,Price,Total_Spend,Gross_PnL,Statutory_Taxes,Net_PnL,Return_Pct,Balance,Target_RR_Mode,Outcome,Chart_PNG_URI
1,0,DEPOSIT,2010-01-01,N/A,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,N/A,DEPOSIT,N/A
2,1,BUY (ENTRY),2010-01-05,BBTC.NS,Weekly,55.6,194,60.52,11740.880000000001,0.0,0.0,0.0,0.0,88259.12,1:2,OPEN,N/A
3,1,SELL (EXIT),2010-01-08,BBTC.NS,Weekly,55.6,194,70.79,11740.880000000001,1992.38,44.09,1948.29,16.594071313223537,101948.29,1:2,Success,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0001_BBTC.NS_2010-01-05_PROFIT.png
4,2,BUY (ENTRY),2010-01-25,SAKHTISUG.NS,Weekly,86.0,153,87.84,13439.52,0.0,0.0,0.0,0.0,88508.76999999999,1:2,OPEN,N/A
5,3,BUY (ENTRY),2010-01-25,BALRAMCHIN.NS,Weekly,120.2,155,125.12,19393.600000000002,0.0,0.0,0.0,0.0,69115.16999999998,1:2,OPEN,N/A
6,2,SELL (EXIT),2010-01-28,SAKHTISUG.NS,Weekly,86.0,153,81.32,13439.52,-997.56,44.76,-1042.32,-7.75563412979035,100905.96999999999,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0002_SAKHTISUG.NS_2010-01-25_LOSS.png
7,3,SELL (EXIT),2010-01-28,BALRAMCHIN.NS,Weekly,120.2,155,118.68,19393.600000000002,-998.2,58.0,-1056.2,-5.446126557214751,99849.76999999999,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0003_BALRAMCHIN.NS_2010-01-25_LOSS.png
8,4,BUY (ENTRY),2010-01-28,VINDHYATEL.NS,Weekly,178.9,49,195.19,9564.31,0.0,0.0,0.0,0.0,90285.45999999999,1:2,OPEN,N/A
9,5,BUY (ENTRY),2010-01-29,PNB.NS,Weekly,174.32,119,178.18,21203.420000000002,0.0,0.0,0.0,0.0,69082.03999999998,1:2,OPEN,N/A
10,5,SELL (EXIT),2010-02-05,PNB.NS,Weekly,174.32,119,169.83,21203.420000000002,-993.65,62.02,-1055.67,-4.97877229239434,98794.09999999999,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0005_PNB.NS_2010-01-29_LOSS.png
11,6,BUY (ENTRY),2010-02-06,DCAL.NS,Weekly,105.05,161,104.6,16840.6,0.0,0.0,0.0,0.0,72389.19,1:2,OPEN,N/A
12,4,SELL (EXIT),2010-02-24,VINDHYATEL.NS,Weekly,178.9,49,174.82,9564.31,-998.13,36.15,-1034.28,-10.813953123644048,97759.81999999999,1:2,Fail,file:///C:/DATA/CODE/Stocks/BackTest/Plots/statement_trades/Trade_0004_VINDHYATEL.NS_2010-01-28_LOSS.png
