Date,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Pct,Gross_PnL_Amount,Total_Charges_Amount,Net_PnL_Amount,Cumulative_Net_PnL_Amount
2026-06-15,6,1,5,16.7,-18.91,15.86,-34.77,-34.77
2026-06-16,4,0,4,0.0,-61.54,10.65,-72.19,-106.96
2026-06-18,5,1,4,20.0,4.65,11.94,-7.29,-114.25
2026-06-19,3,1,2,33.3,-0.12,7.45,-7.57,-121.82
2026-06-22,6,4,2,66.7,42.9,14.94,27.96,-93.86
2026-06-23,4,1,3,25.0,3.38,10.5,-7.12,-100.98
2026-06-24,8,4,4,50.0,31.92,21.45,10.47,-90.51
2026-06-25,7,3,4,42.9,22.11,18.42,3.69,-86.82
2026-06-29,4,1,3,25.0,-6.3,10.59,-16.89,-103.71
2026-06-30,5,3,2,60.0,35.53,13.14,22.39,-81.32
2026-07-01,3,1,2,33.3,-2.63,7.62,-10.25,-91.57
2026-07-02,5,0,5,0.0,-79.77,13.27,-93.04,-184.61
2026-07-03,5,2,3,40.0,-0.76,13.56,-14.32,-198.93
2026-07-06,1,1,0,100.0,11.44,2.51,8.93,-190.0
2026-07-07,7,1,6,14.3,-41.94,17.15,-59.09,-249.09
2026-07-08,4,1,3,25.0,8.52,10.51,-1.99,-251.08
2026-07-09,4,1,3,25.0,-10.71,10.48,-21.19,-272.27
2026-07-10,4,2,2,50.0,13.8,10.54,3.26,-269.01
2026-07-13,7,4,3,57.1,41.49,15.65,25.84,-243.17
2026-07-14,4,2,2,50.0,16.86,9.89,6.97,-236.2
2026-07-15,7,3,4,42.9,-31.0,18.05,-49.05,-285.25
2026-07-16,4,1,3,25.0,-2.75,9.96,-12.71,-297.96
2026-07-17,6,1,5,16.7,-31.77,13.59,-45.36,-343.32
