Date,Stock_Name,Ticker,Side,Range_930_High,Range_930_Low,Confirmation_Time,Retest_Entry_Time,Entry_Price,Exit1_Time,Exit1_Price,Exit1_PnL_Pct,Exit2_Time,Exit2_Price,Exit2_PnL_Pct,Gross_PnL_Pct,Trade_Fee_Amount,Net_Trade_PnL_Pct,Net_Trade_PnL_Amount,Trade_Status
2026-06-15,GROWW,GROWW.NS,SHORT,205.1,202.01,2026-06-15 10:00:00,2026-06-15 10:02:00,205.1,2026-06-15 10:03:00,206.02,-0.45,2026-06-15 10:03:00,206.02,-0.45,-0.45,2.7,-0.55,-13.74,LOSER
2026-06-15,ASHOKLEY,ASHOKLEY.NS,SHORT,160.34,159.41,2026-06-15 10:00:00,2026-06-15 10:18:00,160.34,2026-06-15 10:47:00,159.41,0.58,2026-06-15 15:15:00,157.51,1.77,1.17,2.56,1.03,25.64,WINNER
2026-06-15,YESBANK,YESBANK.NS,SHORT,23.37,23.25,2026-06-15 10:00:00,2026-06-15 10:26:00,23.37,2026-06-15 10:27:00,23.45,-0.34,2026-06-15 10:27:00,23.45,-0.34,-0.34,2.72,-0.45,-11.2,LOSER
2026-06-15,IDEA,IDEA.NS,LONG,15.23,15.05,2026-06-15 10:30:00,2026-06-15 10:38:00,15.05,2026-06-15 14:43:00,14.98,-0.47,2026-06-15 14:43:00,14.98,-0.47,-0.47,2.73,-0.57,-14.35,LOSER
2026-06-15,ASHOKLEY,ASHOKLEY.NS,LONG,160.34,159.41,2026-06-15 10:15:00,2026-06-15 10:47:00,159.41,2026-06-15 11:20:00,158.93,-0.3,2026-06-15 11:20:00,158.93,-0.3,-0.3,2.51,-0.39,-9.68,LOSER
2026-06-15,ZEEL,ZEEL.NS,LONG,111.65,109.85,2026-06-15 13:15:00,2026-06-15 14:18:00,109.85,2026-06-15 15:00:00,109.45,-0.36,2026-06-15 15:00:00,109.45,-0.36,-0.36,2.64,-0.46,-11.44,LOSER
2026-06-16,MEESHO,MEESHO.NS,SHORT,169.89,167.61,2026-06-16 10:45:00,2026-06-16 10:50:00,169.89,2026-06-16 10:51:00,171.06,-0.69,2026-06-16 10:51:00,171.06,-0.69,-0.69,2.61,-0.76,-18.99,LOSER
2026-06-16,IDEA,IDEA.NS,LONG,14.9,14.7,2026-06-16 10:45:00,2026-06-16 11:05:00,14.7,2026-06-16 11:44:00,14.65,-0.34,2026-06-16 11:44:00,14.65,-0.34,-0.34,2.73,-0.45,-11.23,LOSER
2026-06-16,YESBANK,YESBANK.NS,LONG,24.25,23.86,2026-06-16 12:00:00,2026-06-16 12:44:00,23.86,2026-06-16 13:40:00,23.7,-0.67,2026-06-16 13:40:00,23.7,-0.67,-0.67,2.71,-0.77,-19.35,LOSER
2026-06-16,HFCL,HFCL.NS,SHORT,187.85,185.56,2026-06-16 14:15:00,2026-06-16 14:56:00,187.85,2026-06-16 15:07:00,189.39,-0.82,2026-06-16 15:07:00,189.39,-0.82,-0.82,2.6,-0.9,-22.62,LOSER
2026-06-18,IDEA,IDEA.NS,LONG,14.97,14.91,2026-06-18 10:15:00,2026-06-18 10:17:00,14.91,2026-06-18 10:28:00,14.86,-0.34,2026-06-18 10:28:00,14.86,-0.34,-0.34,2.71,-0.44,-11.06,LOSER
2026-06-18,HDFCBANK,HDFCBANK.NS,SHORT,798.95,792.4,2026-06-18 10:45:00,2026-06-18 10:56:00,798.95,2026-06-18 15:15:00,799.95,-0.13,2026-06-18 15:15:00,799.95,-0.13,-0.13,2.29,-0.21,-5.29,LOSER
2026-06-18,BEL,BEL.NS,LONG,427.35,423.45,2026-06-18 11:00:00,2026-06-18 11:26:00,423.45,2026-06-18 11:55:00,427.35,0.92,2026-06-18 15:15:00,428.55,1.2,1.06,2.05,0.82,20.45,WINNER
2026-06-18,BEL,BEL.NS,SHORT,427.35,423.45,2026-06-18 10:00:00,2026-06-18 11:55:00,427.35,2026-06-18 11:57:00,428.65,-0.3,2026-06-18 11:57:00,428.65,-0.3,-0.3,2.16,-0.35,-8.66,LOSER
2026-06-18,IDEA,IDEA.NS,SHORT,14.97,14.91,2026-06-18 14:00:00,2026-06-18 15:00:00,14.97,2026-06-18 15:15:00,14.97,0.0,2026-06-18 15:15:00,14.97,0.0,0.0,2.73,-0.11,-2.73,LOSER
2026-06-19,HFCL,HFCL.NS,SHORT,209.61,207.98,2026-06-19 10:00:00,2026-06-19 10:02:00,209.61,2026-06-19 15:15:00,209.61,0.0,2026-06-19 15:15:00,209.61,0.0,0.0,2.44,-0.1,-2.44,LOSER
