Year,first,last,Yearly_PnL,Yearly_Return_Pct
2010,100000.0,183925.87999999995,83925.87999999995,83.92587999999994
2011,183925.87999999995,225775.0299999999,41849.149999999965,22.753268871134384
2012,225775.0299999999,485640.37999999983,259865.34999999992,115.09924281706441
2013,486514.1499999998,719480.2700000004,232966.12000000058,47.88475730870329
2014,721359.5200000004,1186312.6300000008,464953.11000000045,64.45511525237792
2015,1196722.2700000007,2044397.2099999972,847674.9399999965,70.83305469029133
2016,2051964.2399999972,2878653.0199999996,826688.7800000024,40.28767967223462
2017,2878653.0199999996,4038260.300000016,1159607.2800000166,40.28298207333153
2018,4044051.010000016,6244708.419999936,2200657.4099999196,54.41715261647777
2019,6254240.579999936,8509851.999999952,2255611.4200000158,36.065312665027655
2020,8529185.329999944,11161530.96999995,2632345.640000006,30.862802696304215
2021,11161530.96999995,12545661.59,1384130.6200000495,12.400902920220592
2022,12545661.59,15139714.269999966,2594052.679999966,20.676890265138788
2023,15139714.269999966,17741188.479999952,2601474.209999986,17.183112994113277
2024,17755967.57999996,20987911.3099998,3231943.7299998403,18.202014142221405
2025,20987911.3099998,22834721.48999984,1846810.180000037,8.799399581606362
2026,22876275.28999983,25257335.24999982,2381059.9599999897,10.408425015941516
