Year,Start Equity (INR),End Equity (INR),Yearly PnL (INR),Yearly Return (%)
2010,100000.0,129000.0,29000.0,28.999999999999996
2011,129000.0,121000.0,-8000.0,-6.2015503875969
2012,121000.0,142000.0,21000.0,17.355371900826448
2013,142000.0,120000.0,-22000.0,-15.492957746478872
2014,120000.0,255000.0,135000.0,112.5
2015,255000.0,467000.0,212000.0,83.13725490196079
2016,467000.0,562000.0,95000.0,20.342612419700217
2017,562000.0,924000.0,362000.0,64.41281138790036
2018,924000.0,1084000.0,160000.0,17.316017316017316
2019,1084000.0,1347000.0,263000.0,24.261992619926197
2020,1347000.0,2523000.0,1176000.0,87.30512249443207
2021,2523000.0,4593000.0,2070000.0,82.04518430439953
2022,4593000.0,7041000.0,2448000.0,53.298497713912475
2023,7041000.0,9843000.0,2802000.0,39.7954835960801
2024,9843000.0,14085000.0,4242000.0,43.096616885096005
2025,14085000.0,15910000.0,1825000.0,12.957046503372382
2026,15910000.0,19290000.0,3380000.0,21.244500314267757
