Year,Start Equity (INR),End Equity (INR),Yearly PnL (INR),Yearly Return (%)
2010,100000.0,137000.0,37000.0,37.0
2011,137000.0,108000.0,-29000.0,-21.16788321167883
2012,108000.0,133000.0,25000.0,23.14814814814815
2013,133000.0,106000.0,-27000.0,-20.30075187969925
2014,106000.0,241000.0,135000.0,127.35849056603774
2015,241000.0,363000.0,122000.0,50.62240663900415
2016,363000.0,399000.0,36000.0,9.917355371900827
2017,399000.0,642000.0,243000.0,60.902255639097746
2018,642000.0,618000.0,-24000.0,-3.7383177570093453
2019,618000.0,709000.0,91000.0,14.724919093851133
2020,709000.0,1659000.0,950000.0,133.99153737658673
2021,1659000.0,3284000.0,1625000.0,97.95057263411694
2022,3284000.0,5041000.0,1757000.0,53.50182704019488
2023,5041000.0,7579000.0,2538000.0,50.34715334259076
2024,7579000.0,11227000.0,3648000.0,48.13299907639531
2025,11227000.0,13029000.0,1802000.0,16.050592322080696
2026,13029000.0,15846000.0,2817000.0,21.620999309233248
