stock,trade_date,level,level_value,pass_no,cross_dir,side,cross_time,signal_time,signal_color,signal_shape,signal_body_ratio,signal_volume,signal_range_pct,candles_between,entry_time,entry,sl,trail_stop,risk,risk_pct,exit_reason,exit_time,exit,entry_dt,exit_dt,qty,entry_fee,exit_fee,net_pnl,return_pct,mfe,mfe_pct,mae,mae_pct,mar_pct,mar_rr,rr,win_1r,r_eod,exit_idx,pivot_count_made,timeframe,level_sources
ADANIENSOL.NS,2026-06-19,pivot_resistance,1533.8,1,down,long,2026-06-19 09:31,2026-06-19 09:33,green,normal,0.29,5742,0.092,0,2026-06-19 09:34,1529.3,1527.75,1527.75,1.55,0.102,sl_hit,2026-06-19 09:35,1526.2,2026-06-19 09:34:00+05:30,2026-06-19 09:35:00+05:30,1,0.65,1.03,-4.77,-0.312,3.1,0.203,1.55,0.102,0.102,1.0,2.0,True,-2.0,20,0,1m,pivot
ADANIENSOL.NS,2026-06-19,pivot_resistance,1533.0,1,down,long,2026-06-19 09:31,2026-06-19 09:33,green,normal,0.29,5742,0.092,0,2026-06-19 09:34,1529.3,1527.75,1527.75,1.55,0.102,sl_hit,2026-06-19 09:35,1526.2,2026-06-19 09:34:00+05:30,2026-06-19 09:35:00+05:30,1,0.65,1.03,-4.77,-0.312,3.1,0.203,1.55,0.102,0.102,1.0,2.0,True,-2.0,20,0,1m,pivot
ADANIENSOL.NS,2026-06-19,pivot_resistance,1529.3,1,down,long,2026-06-19 09:32,2026-06-19 09:33,green,normal,0.29,5742,0.092,0,2026-06-19 09:34,1529.3,1527.75,1527.75,1.55,0.102,sl_hit,2026-06-19 09:35,1526.2,2026-06-19 09:34:00+05:30,2026-06-19 09:35:00+05:30,1,0.65,1.03,-4.77,-0.312,3.1,0.203,1.55,0.102,0.102,1.0,2.0,True,-2.0,20,0,1m,pivot
ADANIENSOL.NS,2026-06-19,pivot_resistance,1529.3,2,up,short,2026-06-19 09:43,2026-06-19 09:44,red,normal,0.52,4611,0.354,1,2026-06-19 09:46,1527.1,1532.65,1532.65,5.55,0.364,sl_hit,2026-06-19 09:47,1532.7,2026-06-19 09:46:00+05:30,2026-06-19 09:47:00+05:30,1,0.65,1.03,-7.28,-0.477,5.6,0.367,5.55,0.364,0.364,1.0,1.01,True,-1.01,32,0,1m,pivot
ADANIENSOL.NS,2026-06-19,pivot_resistance,1529.3,3,up,short,2026-06-19 09:49,2026-06-19 09:50,red,normal,0.19,6646,0.17,0,2026-06-19 09:51,1526.5,1529.25,1529.25,2.75,0.18,sl_hit,2026-06-19 09:56,1532.2,2026-06-19 09:51:00+05:30,2026-06-19 09:56:00+05:30,1,0.65,1.03,-7.38,-0.483,5.7,0.373,2.75,0.18,0.18,1.0,2.07,True,-2.07,41,0,1m,pivot
ADANIENSOL.NS,2026-06-19,pivot_resistance,1524.3,1,down,long,2026-06-19 09:38,2026-06-19 09:39,green,normal,0.71,8825,0.092,0,2026-06-19 09:40,1524.7,1523.15,1523.15,1.55,0.102,sl_hit,2026-06-19 10:01,1522.5,2026-06-19 09:40:00+05:30,2026-06-19 10:01:00+05:30,1,0.64,1.02,-3.87,-0.254,2.2,0.144,1.55,0.102,0.102,1.0,1.42,True,-1.42,46,1,1m,pivot
ADANIENSOL.NS,2026-06-19,pivot_resistance,1521.1,1,down,long,2026-06-19 10:33,2026-06-19 10:34,green,normal,0.73,1796,0.145,0,2026-06-19 10:35,1520.6,1518.25,1518.45,2.35,0.155,sl_hit,2026-06-19 11:39,1518.0,2026-06-19 10:35:00+05:30,2026-06-19 11:39:00+05:30,1,0.64,1.02,-4.26,-0.28,2.6,0.171,2.35,0.155,0.155,1.0,1.11,True,-1.11,144,1,1m,pivot
ADANIENSOL.NS,2026-06-19,pivot_resistance,1519.8,1,down,long,2026-06-19 10:33,2026-06-19 10:34,green,normal,0.73,1796,0.145,0,2026-06-19 10:35,1520.6,1518.25,1518.45,2.35,0.155,sl_hit,2026-06-19 11:39,1518.0,2026-06-19 10:35:00+05:30,2026-06-19 11:39:00+05:30,1,0.64,1.02,-4.26,-0.28,2.6,0.171,2.35,0.155,0.155,1.0,1.11,True,-1.11,144,1,1m,pivot
ADANIENSOL.NS,2026-06-19,pivot_resistance,1518.0,1,down,long,2026-06-19 11:47,2026-06-19 11:48,green,doji,0.14,280,0.046,0,2026-06-19 11:49,1518.0,1517.15,1517.15,0.85,0.056,sl_hit,2026-06-19 11:50,1517.0,2026-06-19 11:49:00+05:30,2026-06-19 11:50:00+05:30,1,0.64,1.02,-2.66,-0.175,1.0,0.066,0.85,0.056,0.056,1.0,1.17,True,-1.17,155,0,1m,pivot
ADANIENSOL.NS,2026-06-19,pivot_resistance,1512.9,1,down,long,2026-06-19 12:42,2026-06-19 12:45,green,normal,0.56,890,0.06,0,2026-06-19 12:46,1511.8,1510.75,1510.75,1.05,0.07,sl_hit,2026-06-19 12:56,1510.0,2026-06-19 12:46:00+05:30,2026-06-19 12:56:00+05:30,1,0.64,1.02,-3.46,-0.229,1.8,0.119,1.05,0.07,0.07,1.0,1.71,True,-1.71,221,0,1m,pivot
